School,Department,Number of Courses,Requirement,Department Code
School of Humanities & Sciences,Applied Physics,1,Applied Quantitative Reasoning,APPPHYS
School of Humanities & Sciences,Applied Physics,5,Scientific Method and Analysis,APPPHYS
School of Humanities & Sciences,Applied Physics,0,Social Inquiry,APPPHYS
School of Humanities & Sciences,Arabic Language,1,Aesthetic and Interpretive Inquiry,ARABLANG
School of Humanities & Sciences,Arabic Language,1,Creative Expression,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Exploring Difference and Power,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Ethical Reasoning,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Formal Reasoning,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Applied Quantitative Reasoning,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Scientific Method and Analysis,ARABLANG
School of Humanities & Sciences,Arabic Language,0,Social Inquiry,ARABLANG
School of Humanities & Sciences,Archaeology,10,Aesthetic and Interpretive Inquiry,ARCHLGY
School of Humanities & Sciences,Archaeology,1,Creative Expression,ARCHLGY
School of Humanities & Sciences,Archaeology,13,Exploring Difference and Power,ARCHLGY
School of Humanities & Sciences,Archaeology,2,Ethical Reasoning,ARCHLGY
School of Humanities & Sciences,Archaeology,0,Formal Reasoning,ARCHLGY
School of Humanities & Sciences,Archaeology,2,Applied Quantitative Reasoning,ARCHLGY
School of Humanities & Sciences,Archaeology,6,Scientific Method and Analysis,ARCHLGY
School of Humanities & Sciences,Archaeology,33,Social Inquiry,ARCHLGY
School of Humanities & Sciences,Art History,53,Aesthetic and Interpretive Inquiry,ARTHIST
School of Humanities & Sciences,Art History,2,Creative Expression,ARTHIST
School of Humanities & Sciences,Art History,16,Exploring Difference and Power,ARTHIST
School of Humanities & Sciences,Art History,0,Ethical Reasoning,ARTHIST
School of Humanities & Sciences,Art History,0,Formal Reasoning,ARTHIST
School of Humanities & Sciences,Art History,0,Applied Quantitative Reasoning,ARTHIST
School of Humanities & Sciences,Art History,0,Scientific Method and Analysis,ARTHIST
School of Humanities & Sciences,Art History,5,Social Inquiry,ARTHIST
School of Humanities & Sciences,Arts Institute,2,Aesthetic and Interpretive Inquiry,ARTSINST
School of Humanities & Sciences,Arts Institute,4,Creative Expression,ARTSINST
School of Humanities & Sciences,Arts Institute,1,Exploring Difference and Power,ARTSINST
School of Humanities & Sciences,Arts Institute,0,Ethical Reasoning,ARTSINST
School of Humanities & Sciences,Arts Institute,1,Formal Reasoning,ARTSINST
School of Humanities & Sciences,Arts Institute,0,Applied Quantitative Reasoning,ARTSINST
School of Humanities & Sciences,Arts Institute,1,Scientific Method and Analysis,ARTSINST
School of Humanities & Sciences,Arts Institute,0,Social Inquiry,ARTSINST
School of Humanities & Sciences,Art Studio,4,Aesthetic and Interpretive Inquiry,ARTSTUDI
School of Humanities & Sciences,Art Studio,105,Creative Expression,ARTSTUDI
School of Humanities & Sciences,Art Studio,1,Exploring Difference and Power,ARTSTUDI
School of Humanities & Sciences,Art Studio,0,Ethical Reasoning,ARTSTUDI
School of Humanities & Sciences,Art Studio,0,Formal Reasoning,ARTSTUDI
School of Humanities & Sciences,Art Studio,0,Applied Quantitative Reasoning,ARTSTUDI
School of Humanities & Sciences,Art Studio,0,Scientific Method and Analysis,ARTSTUDI
School of Humanities & Sciences,Art Studio,0,Social Inquiry,ARTSTUDI
School of Humanities & Sciences,Asian American Studies,10,Aesthetic and Interpretive Inquiry,ASNAMST
School of Humanities & Sciences,Asian American Studies,4,Creative Expression,ASNAMST
School of Humanities & Sciences,Asian American Studies,24,Exploring Difference and Power,ASNAMST
School of Humanities & Sciences,Asian American Studies,0,Ethical Reasoning,ASNAMST
School of Humanities & Sciences,Asian American Studies,0,Formal Reasoning,ASNAMST
School of Humanities & Sciences,Asian American Studies,0,Applied Quantitative Reasoning,ASNAMST
School of Humanities & Sciences,Asian American Studies,0,Scientific Method and Analysis,ASNAMST
School of Humanities & Sciences,Asian American Studies,7,Social Inquiry,ASNAMST
School of Humanities & Sciences,Asian Languages,0,Aesthetic and Interpretive Inquiry,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Creative Expression,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Exploring Difference and Power,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Ethical Reasoning,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Formal Reasoning,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Applied Quantitative Reasoning,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Scientific Method and Analysis,ASNLANG
School of Humanities & Sciences,Asian Languages,0,Social Inquiry,ASNLANG
School of Humanities & Sciences,Biology,1,Aesthetic and Interpretive Inquiry,BIO
School of Humanities & Sciences,Biology,5,Creative Expression,BIO
School of Humanities & Sciences,Biology,0,Exploring Difference and Power,BIO
School of Humanities & Sciences,Biology,2,Ethical Reasoning,BIO
School of Humanities & Sciences,Biology,1,Formal Reasoning,BIO
School of Humanities & Sciences,Biology,6,Applied Quantitative Reasoning,BIO
School of Humanities & Sciences,Biology,51,Scientific Method and Analysis,BIO
School of Humanities & Sciences,Biology,3,Social Inquiry,BIO
School of Humanities & Sciences,Biology/Hopkins Marine,0,Aesthetic and Interpretive Inquiry,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Creative Expression,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Exploring Difference and Power,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Ethical Reasoning,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Formal Reasoning,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Applied Quantitative Reasoning,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Scientific Method and Analysis,BIOHOPK
School of Humanities & Sciences,Biology/Hopkins Marine,0,Social Inquiry,BIOHOPK
School of Humanities & Sciences,Biophysics,0,Aesthetic and Interpretive Inquiry,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Creative Expression,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Exploring Difference and Power,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Ethical Reasoning,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Formal Reasoning,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Applied Quantitative Reasoning,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Scientific Method and Analysis,BIOPHYS
School of Humanities & Sciences,Biophysics,0,Social Inquiry,BIOPHYS
School of Humanities & Sciences,Catalan Language Courses,0,Aesthetic and Interpretive Inquiry,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Creative Expression,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Exploring Difference and Power,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Ethical Reasoning,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Formal Reasoning,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Applied Quantitative Reasoning,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Scientific Method and Analysis,CATLANG
School of Humanities & Sciences,Catalan Language Courses,0,Social Inquiry,CATLANG
School of Humanities & Sciences,Chemistry,0,Aesthetic and Interpretive Inquiry,CHEM
School of Humanities & Sciences,Chemistry,0,Creative Expression,CHEM
School of Humanities & Sciences,Chemistry,0,Exploring Difference and Power,CHEM
School of Humanities & Sciences,Chemistry,0,Ethical Reasoning,CHEM
School of Humanities & Sciences,Chemistry,0,Formal Reasoning,CHEM
School of Humanities & Sciences,Chemistry,3,Applied Quantitative Reasoning,CHEM
School of Humanities & Sciences,Chemistry,12,Scientific Method and Analysis,CHEM
School of Humanities & Sciences,Chemistry,0,Social Inquiry,CHEM
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Aesthetic and Interpretive Inquiry,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Creative Expression,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Exploring Difference and Power,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Ethical Reasoning,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Formal Reasoning,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Applied Quantitative Reasoning,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Scientific Method and Analysis,CHILATST
School of Humanities & Sciences,Chicana/o-Latina/o Studies,0,Social Inquiry,CHILATST
School of Humanities & Sciences,Chinese,23,Aesthetic and Interpretive Inquiry,CHINA
School of Humanities & Sciences,Chinese,0,Creative Expression,CHINA
School of Humanities & Sciences,Chinese,11,Exploring Difference and Power,CHINA
School of Humanities & Sciences,Chinese,5,Ethical Reasoning,CHINA
School of Humanities & Sciences,Chinese,0,Formal Reasoning,CHINA
School of Humanities & Sciences,Chinese,0,Applied Quantitative Reasoning,CHINA
School of Humanities & Sciences,Chinese,0,Scientific Method and Analysis,CHINA
School of Humanities & Sciences,Chinese,35,Social Inquiry,CHINA
School of Humanities & Sciences,Chinese Language,0,Aesthetic and Interpretive Inquiry,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Creative Expression,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Exploring Difference and Power,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Ethical Reasoning,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Formal Reasoning,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Applied Quantitative Reasoning,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Scientific Method and Analysis,CHINLANG
School of Humanities & Sciences,Chinese Language,0,Social Inquiry,CHINLANG
School of Humanities & Sciences,Classics,57,Aesthetic and Interpretive Inquiry,CLASSICS
School of Humanities & Sciences,Classics,3,Creative Expression,CLASSICS
School of Humanities & Sciences,Classics,20,Exploring Difference and Power,CLASSICS
School of Humanities & Sciences,Classics,11,Ethical Reasoning,CLASSICS
School of Humanities & Sciences,Classics,0,Formal Reasoning,CLASSICS
School of Humanities & Sciences,Classics,0,Applied Quantitative Reasoning,CLASSICS
School of Humanities & Sciences,Classics,0,Scientific Method and Analysis,CLASSICS
School of Humanities & Sciences,Classics,29,Social Inquiry,CLASSICS
School of Humanities & Sciences,Communication,3,Aesthetic and Interpretive Inquiry,COMM
School of Humanities & Sciences,Communication,5,Creative Expression,COMM
School of Humanities & Sciences,Communication,1,Exploring Difference and Power,COMM
School of Humanities & Sciences,Communication,5,Ethical Reasoning,COMM
School of Humanities & Sciences,Communication,4,Formal Reasoning,COMM
School of Humanities & Sciences,Communication,3,Applied Quantitative Reasoning,COMM
School of Humanities & Sciences,Communication,0,Scientific Method and Analysis,COMM
School of Humanities & Sciences,Communication,34,Social Inquiry,COMM
School of Humanities & Sciences,Comparative Literature,91,Aesthetic and Interpretive Inquiry,COMPLIT
School of Humanities & Sciences,Comparative Literature,6,Creative Expression,COMPLIT
School of Humanities & Sciences,Comparative Literature,22,Exploring Difference and Power,COMPLIT
School of Humanities & Sciences,Comparative Literature,4,Ethical Reasoning,COMPLIT
School of Humanities & Sciences,Comparative Literature,0,Formal Reasoning,COMPLIT
School of Humanities & Sciences,Comparative Literature,0,Applied Quantitative Reasoning,COMPLIT
School of Humanities & Sciences,Comparative Literature,0,Scientific Method and Analysis,COMPLIT
School of Humanities & Sciences,Comparative Literature,5,Social Inquiry,COMPLIT
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Aesthetic and Interpretive Inquiry,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Creative Expression,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,6,Exploring Difference and Power,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Ethical Reasoning,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Formal Reasoning,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Applied Quantitative Reasoning,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,0,Scientific Method and Analysis,CSRE
School of Humanities & Sciences,Comparative Studies in Race & Ethnicity,6,Social Inquiry,CSRE
School of Humanities & Sciences,Dance,42,Aesthetic and Interpretive Inquiry,DANCE
School of Humanities & Sciences,Dance,42,Creative Expression,DANCE
School of Humanities & Sciences,Dance,12,Exploring Difference and Power,DANCE
School of Humanities & Sciences,Dance,0,Ethical Reasoning,DANCE
School of Humanities & Sciences,Dance,0,Formal Reasoning,DANCE
School of Humanities & Sciences,Dance,0,Applied Quantitative Reasoning,DANCE
School of Humanities & Sciences,Dance,0,Scientific Method and Analysis,DANCE
School of Humanities & Sciences,Dance,2,Social Inquiry,DANCE
School of Humanities & Sciences,Data Science,0,Aesthetic and Interpretive Inquiry,DATASCI
School of Humanities & Sciences,Data Science,0,Creative Expression,DATASCI
School of Humanities & Sciences,Data Science,0,Exploring Difference and Power,DATASCI
School of Humanities & Sciences,Data Science,0,Ethical Reasoning,DATASCI
School of Humanities & Sciences,Data Science,0,Formal Reasoning,DATASCI
School of Humanities & Sciences,Data Science,9,Applied Quantitative Reasoning,DATASCI
School of Humanities & Sciences,Data Science,0,Scientific Method and Analysis,DATASCI
School of Humanities & Sciences,Data Science,8,Social Inquiry,DATASCI
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Aesthetic and Interpretive Inquiry,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Creative Expression,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Exploring Difference and Power,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Ethical Reasoning,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Formal Reasoning,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Applied Quantitative Reasoning,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Scientific Method and Analysis,DLCL
School of Humanities & Sciences,"Division of Literatures, Cultures, & Languages",0,Social Inquiry,DLCL
School of Humanities & Sciences,Drama,2,Aesthetic and Interpretive Inquiry,TAPS
School of Humanities & Sciences,Drama,0,Creative Expression,TAPS
School of Humanities & Sciences,Drama,1,Exploring Difference and Power,TAPS
School of Humanities & Sciences,Drama,2,Ethical Reasoning,TAPS
School of Humanities & Sciences,Drama,0,Formal Reasoning,TAPS
School of Humanities & Sciences,Drama,0,Applied Quantitative Reasoning,TAPS
School of Humanities & Sciences,Drama,0,Scientific Method and Analysis,TAPS
School of Humanities & Sciences,Drama,1,Social Inquiry,TAPS
School of Humanities & Sciences,East Asian Languages & Cultures,0,Aesthetic and Interpretive Inquiry,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Creative Expression,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Exploring Difference and Power,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Ethical Reasoning,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Formal Reasoning,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Applied Quantitative Reasoning,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Scientific Method and Analysis,EALC
School of Humanities & Sciences,East Asian Languages & Cultures,0,Social Inquiry,EALC
School of Humanities & Sciences,East Asian Studies,1,Aesthetic and Interpretive Inquiry,EASTASN
School of Humanities & Sciences,East Asian Studies,0,Creative Expression,EASTASN
School of Humanities & Sciences,East Asian Studies,1,Exploring Difference and Power,EASTASN
School of Humanities & Sciences,East Asian Studies,0,Ethical Reasoning,EASTASN
School of Humanities & Sciences,East Asian Studies,0,Formal Reasoning,EASTASN
School of Humanities & Sciences,East Asian Studies,0,Applied Quantitative Reasoning,EASTASN
School of Humanities & Sciences,East Asian Studies,0,Scientific Method and Analysis,EASTASN
School of Humanities & Sciences,East Asian Studies,3,Social Inquiry,EASTASN
School of Humanities & Sciences,Economics,0,Aesthetic and Interpretive Inquiry,ECON
School of Humanities & Sciences,Economics,0,Creative Expression,ECON
School of Humanities & Sciences,Economics,0,Exploring Difference and Power,ECON
School of Humanities & Sciences,Economics,0,Ethical Reasoning,ECON
School of Humanities & Sciences,Economics,6,Formal Reasoning,ECON
School of Humanities & Sciences,Economics,16,Applied Quantitative Reasoning,ECON
School of Humanities & Sciences,Economics,0,Scientific Method and Analysis,ECON
School of Humanities & Sciences,Economics,53,Social Inquiry,ECON
School of Humanities & Sciences,English,292,Aesthetic and Interpretive Inquiry,ENGLISH
School of Humanities & Sciences,English,99,Creative Expression,ENGLISH
School of Humanities & Sciences,English,90,Exploring Difference and Power,ENGLISH
School of Humanities & Sciences,English,13,Ethical Reasoning,ENGLISH
School of Humanities & Sciences,English,9,Formal Reasoning,ENGLISH
School of Humanities & Sciences,English,11,Applied Quantitative Reasoning,ENGLISH
School of Humanities & Sciences,English,0,Scientific Method and Analysis,ENGLISH
School of Humanities & Sciences,English,81,Social Inquiry,ENGLISH
School of Humanities & Sciences,English for Foreign Students,0,Aesthetic and Interpretive Inquiry,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Creative Expression,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Exploring Difference and Power,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Ethical Reasoning,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Formal Reasoning,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Applied Quantitative Reasoning,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Scientific Method and Analysis,EFSLANG
School of Humanities & Sciences,English for Foreign Students,0,Social Inquiry,EFSLANG
School of Humanities & Sciences,Ethics in Society,8,Aesthetic and Interpretive Inquiry,ETHICSOC
School of Humanities & Sciences,Ethics in Society,0,Creative Expression,ETHICSOC
School of Humanities & Sciences,Ethics in Society,0,Exploring Difference and Power,ETHICSOC
School of Humanities & Sciences,Ethics in Society,27,Ethical Reasoning,ETHICSOC
School of Humanities & Sciences,Ethics in Society,0,Formal Reasoning,ETHICSOC
School of Humanities & Sciences,Ethics in Society,0,Applied Quantitative Reasoning,ETHICSOC
School of Humanities & Sciences,Ethics in Society,0,Scientific Method and Analysis,ETHICSOC
School of Humanities & Sciences,Ethics in Society,6,Social Inquiry,ETHICSOC
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",5,Aesthetic and Interpretive Inquiry,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",5,Creative Expression,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",23,Exploring Difference and Power,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",0,Ethical Reasoning,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",0,Formal Reasoning,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",0,Applied Quantitative Reasoning,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",0,Scientific Method and Analysis,FEMGEN
School of Humanities & Sciences,"Feminist, Gender and Sexuality Studies",16,Social Inquiry,FEMGEN
School of Humanities & Sciences,Film Production,0,Aesthetic and Interpretive Inquiry,FILMPROD
School of Humanities & Sciences,Film Production,8,Creative Expression,FILMPROD
School of Humanities & Sciences,Film Production,0,Exploring Difference and Power,FILMPROD
School of Humanities & Sciences,Film Production,0,Ethical Reasoning,FILMPROD
School of Humanities & Sciences,Film Production,0,Formal Reasoning,FILMPROD
School of Humanities & Sciences,Film Production,0,Applied Quantitative Reasoning,FILMPROD
School of Humanities & Sciences,Film Production,0,Scientific Method and Analysis,FILMPROD
School of Humanities & Sciences,Film Production,0,Social Inquiry,FILMPROD
School of Humanities & Sciences,Film and Media Studies,30,Aesthetic and Interpretive Inquiry,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,2,Creative Expression,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,2,Exploring Difference and Power,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,0,Ethical Reasoning,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,0,Formal Reasoning,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,0,Applied Quantitative Reasoning,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,0,Scientific Method and Analysis,FILMEDIA
School of Humanities & Sciences,Film and Media Studies,1,Social Inquiry,FILMEDIA
School of Humanities & Sciences,French Language,9,Aesthetic and Interpretive Inquiry,FRENLANG
School of Humanities & Sciences,French Language,0,Creative Expression,FRENLANG
School of Humanities & Sciences,French Language,7,Exploring Difference and Power,FRENLANG
School of Humanities & Sciences,French Language,0,Ethical Reasoning,FRENLANG
School of Humanities & Sciences,French Language,0,Formal Reasoning,FRENLANG
School of Humanities & Sciences,French Language,0,Applied Quantitative Reasoning,FRENLANG
School of Humanities & Sciences,French Language,0,Scientific Method and Analysis,FRENLANG
School of Humanities & Sciences,French Language,1,Social Inquiry,FRENLANG
School of Humanities & Sciences,French Studies,29,Aesthetic and Interpretive Inquiry,FRENCH
School of Humanities & Sciences,French Studies,6,Creative Expression,FRENCH
School of Humanities & Sciences,French Studies,13,Exploring Difference and Power,FRENCH
School of Humanities & Sciences,French Studies,0,Ethical Reasoning,FRENCH
School of Humanities & Sciences,French Studies,0,Formal Reasoning,FRENCH
School of Humanities & Sciences,French Studies,0,Applied Quantitative Reasoning,FRENCH
School of Humanities & Sciences,French Studies,0,Scientific Method and Analysis,FRENCH
School of Humanities & Sciences,French Studies,8,Social Inquiry,FRENCH
School of Humanities & Sciences,German Language,0,Aesthetic and Interpretive Inquiry,GERLANG
School of Humanities & Sciences,German Language,0,Creative Expression,GERLANG
School of Humanities & Sciences,German Language,0,Exploring Difference and Power,GERLANG
School of Humanities & Sciences,German Language,0,Ethical Reasoning,GERLANG
School of Humanities & Sciences,German Language,0,Formal Reasoning,GERLANG
School of Humanities & Sciences,German Language,0,Applied Quantitative Reasoning,GERLANG
School of Humanities & Sciences,German Language,0,Scientific Method and Analysis,GERLANG
School of Humanities & Sciences,German Language,0,Social Inquiry,GERLANG
School of Humanities & Sciences,German Studies,42,Aesthetic and Interpretive Inquiry,GERMAN
School of Humanities & Sciences,German Studies,1,Creative Expression,GERMAN
School of Humanities & Sciences,German Studies,6,Exploring Difference and Power,GERMAN
School of Humanities & Sciences,German Studies,0,Ethical Reasoning,GERMAN
School of Humanities & Sciences,German Studies,0,Formal Reasoning,GERMAN
School of Humanities & Sciences,German Studies,0,Applied Quantitative Reasoning,GERMAN
School of Humanities & Sciences,German Studies,0,Scientific Method and Analysis,GERMAN
School of Humanities & Sciences,German Studies,11,Social Inquiry,GERMAN
School of Humanities & Sciences,Global Studies,58,Aesthetic and Interpretive Inquiry,GLOBAL
School of Humanities & Sciences,Global Studies,3,Creative Expression,GLOBAL
School of Humanities & Sciences,Global Studies,71,Exploring Difference and Power,GLOBAL
School of Humanities & Sciences,Global Studies,6,Ethical Reasoning,GLOBAL
School of Humanities & Sciences,Global Studies,0,Formal Reasoning,GLOBAL
School of Humanities & Sciences,Global Studies,4,Applied Quantitative Reasoning,GLOBAL
School of Humanities & Sciences,Global Studies,8,Scientific Method and Analysis,GLOBAL
School of Humanities & Sciences,Global Studies,83,Social Inquiry,GLOBAL
School of Humanities & Sciences,History,448,Aesthetic and Interpretive Inquiry,HISTORY
School of Humanities & Sciences,History,64,Creative Expression,HISTORY
School of Humanities & Sciences,History,424,Exploring Difference and Power,HISTORY
School of Humanities & Sciences,History,42,Ethical Reasoning,HISTORY
School of Humanities & Sciences,History,2,Formal Reasoning,HISTORY
School of Humanities & Sciences,History,12,Applied Quantitative Reasoning,HISTORY
School of Humanities & Sciences,History,29,Scientific Method and Analysis,HISTORY
School of Humanities & Sciences,History,662,Social Inquiry,HISTORY
School of Humanities & Sciences,History & Philosophy of Science,1,Aesthetic and Interpretive Inquiry,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Creative Expression,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Exploring Difference and Power,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Ethical Reasoning,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Formal Reasoning,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Applied Quantitative Reasoning,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Scientific Method and Analysis,HPS
School of Humanities & Sciences,History & Philosophy of Science,0,Social Inquiry,HPS
School of Humanities & Sciences,Human Biology,4,Aesthetic and Interpretive Inquiry,HUMBIO
School of Humanities & Sciences,Human Biology,0,Creative Expression,HUMBIO
School of Humanities & Sciences,Human Biology,12,Exploring Difference and Power,HUMBIO
School of Humanities & Sciences,Human Biology,3,Ethical Reasoning,HUMBIO
School of Humanities & Sciences,Human Biology,1,Formal Reasoning,HUMBIO
School of Humanities & Sciences,Human Biology,7,Applied Quantitative Reasoning,HUMBIO
School of Humanities & Sciences,Human Biology,19,Scientific Method and Analysis,HUMBIO
School of Humanities & Sciences,Human Biology,17,Social Inquiry,HUMBIO
School of Humanities & Sciences,Human Rights,3,Aesthetic and Interpretive Inquiry,HUMRTS
School of Humanities & Sciences,Human Rights,1,Creative Expression,HUMRTS
School of Humanities & Sciences,Human Rights,15,Exploring Difference and Power,HUMRTS
School of Humanities & Sciences,Human Rights,15,Ethical Reasoning,HUMRTS
School of Humanities & Sciences,Human Rights,0,Formal Reasoning,HUMRTS
School of Humanities & Sciences,Human Rights,0,Applied Quantitative Reasoning,HUMRTS
School of Humanities & Sciences,Human Rights,0,Scientific Method and Analysis,HUMRTS
School of Humanities & Sciences,Human Rights,33,Social Inquiry,HUMRTS
School of Humanities & Sciences,Humanities Core,37,Aesthetic and Interpretive Inquiry,HUMCORE
School of Humanities & Sciences,Humanities Core,0,Creative Expression,HUMCORE
School of Humanities & Sciences,Humanities Core,2,Exploring Difference and Power,HUMCORE
School of Humanities & Sciences,Humanities Core,8,Ethical Reasoning,HUMCORE
School of Humanities & Sciences,Humanities Core,0,Formal Reasoning,HUMCORE
School of Humanities & Sciences,Humanities Core,0,Applied Quantitative Reasoning,HUMCORE
School of Humanities & Sciences,Humanities Core,0,Scientific Method and Analysis,HUMCORE
School of Humanities & Sciences,Humanities Core,5,Social Inquiry,HUMCORE
School of Humanities & Sciences,Humanities & Sciences,0,Aesthetic and Interpretive Inquiry,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Creative Expression,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Exploring Difference and Power,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Ethical Reasoning,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Formal Reasoning,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Applied Quantitative Reasoning,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Scientific Method and Analysis,HUMSCI
School of Humanities & Sciences,Humanities & Sciences,0,Social Inquiry,HUMSCI
School of Humanities & Sciences,Iberian & Latin American Cultures,17,Aesthetic and Interpretive Inquiry,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,2,Creative Expression,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,7,Exploring Difference and Power,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,0,Ethical Reasoning,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,0,Formal Reasoning,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,0,Applied Quantitative Reasoning,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,0,Scientific Method and Analysis,ILAC
School of Humanities & Sciences,Iberian & Latin American Cultures,3,Social Inquiry,ILAC
School of Humanities & Sciences,Institute for International Studies (FSI),0,Aesthetic and Interpretive Inquiry,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Creative Expression,IIS
