ka,url,first_name,last_name,full_name,bio,height,birthday,age,hometown_city,hometown_state,ignore,education,medals_gold,medals_silver,medals_bronze,sport,thumbnail_url,thumbnail_alt_text,thumbnail_photo_credit
blte47dbd6d25840372,/profiles/jenna-flynn,Jenna,Flynn,Jenna Flynn,"<h5>Personal</h5><ul><li>Daughter of Joe and Jacqueline Flynn</li><li>Has two older sisters, Shanna and Nina, and one younger sister Christina</li></ul><h5>Career Highlights</h5><ul><li><p>Gold - 2024 World Aquatics Championships, Doha, Qatar</p></li><li>Gold - 2023 Pan American Games, Santiago, Chile.</li><li><p>5th - 2023 World Aquatics World Championships, Fukuoka, Japan.</p></li><li><p>Gold - 2023 World Aquatics World Cup, Long Beach, USA</p></li><li><p>Bronze - 2022 FINA Intercontinental Cup, Lima, Peru</p></li><li><p>Gold - 2022 FINA Youth World Championships, Belgrade, Serbia.</p></li></ul>",,,,San Jose,CA,Stanford University,Stanford University,0,0,0,Water Polo,https://res.cloudinary.com/usopc-prod/image/upload/v1717358993/Flynn_Jenna_WP2024.jpg,"Jenna Flynn poses for a portrait after USA Water Polo announced the 2024 U.S. Olympic Women's Water Polo Team roster at Republique on May 30, 2024 in Los Angeles, California.",Getty Images
blt7b7f1eeb240ef6e3,/profiles/carson-foster,Carson,Foster,Carson Foster,"<h5>Personal</h5><ul><li>First made headlines when he broke Michael Phelps' Under-10 100-meter butterfly national record</li><li>Won five medals at the 2019 Junior World Championships (4 golds, 1 silver)</li></ul><p><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – silver (4 x 200m Freestyle Relay - Men, 400m Individual Medley - Men), 5th (200m Individual Medley - Men), 6th (200m Butterfly - Men)</li><li>Years of participation: 200m Butterfly - Men 2023; 200m Individual Medley - Men 2022, 2023; 4 x 200m Freestyle Relay - Men 2022, 2023; 400m Individual Medley - Men 2022, 2023; 200m Individual Medley (SC) - Men 2021, 2022; 4 x 100m Freestyle Relay (SC) - Men 2022; 4 x 100m Medley Relay (SC) - Men 2022; 4 x 200m Freestyle Relay (SC) - Men 2021, 2022; 400m Individual Medley (SC) - Men 2021, 2022</li><li>Medals: 13 (4 gold, 7 silver, 2 bronze)</li><ul><li>Gold – 2022 (4 x 200m Freestyle Relay - Men, 4 x 100m Medley Relay (SC) - Men, 4 x 200m Freestyle Relay (SC) - Men); 2021 (4 x 200m Freestyle Relay (SC) - Men)</li><li>Silver – 2023 (4 x 200m Freestyle Relay - Men, 400m Individual Medley - Men); 2022 (200m Individual Medley - Men, 400m Individual Medley - Men, 200m Individual Medley (SC) - Men, 400m Individual Medley (SC) - Men); 2021 (200m Individual Medley (SC) - Men)</li><li>Bronze – 2022 (4 x 100m Freestyle Relay (SC) - Men); 2021 (400m Individual Medley (SC) - Men)</li></ul></ul><h5>Career Highlights</h5><ul><li>World Junior Championships, Budapest, 2019 (200m Individual Medley - Men, 4 x 100m Freestyle Relay - Men, 4 x 100m Freestyle Relay - Mixed, 4 x 200m Freestyle Relay - Men, 200m Backstroke - Men)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 2-time Olympic medalist (1 silver, 1 bronze)</li><ul><li>Olympic Games Paris 2024, silver (4 x 200m Freestyle Relay - Men), bronze (400m Individual Medley - Men), 4th (200m Individual Medley - Men)</li></ul></ul>","5'11""",10/26/2001,22,Cincinnati,OH,University of Texas at Austin,University of Texas at Austin,0,1,0,Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1718584462/TeamUSA%20Assets/2024%20Olympic%20Trials/Swimming/Day%202/Foster_C_Qualified_2024.jpg,Carson Foster smiling and looking at the scoreboard,Getty Images
blt086bae60ab5ea2a6,/profiles/emily-fox,Emily,Fox,Emily Fox,<h5>Personal</h5><ul><li><p>Daughter of Alex and Leslie Fox.</p></li><li><p>Sister of Garrett and Lauren</p></li><li>Attended UNC and was the All-ACC and All-America selection for the Tar Heels</li></ul><h5>Career Highlights</h5><ul><li>Drafted 1 overall in 2021 by Racing Louisville FC in the NWSL</li><li>2021 Rookie of the Year Finalist</li><li>Plays for Arsenal FC at the club level</li></ul><p></p>,"5'6""",7/5/1998,26,Ashburn,VA,University of North Carolina,University of North Carolina,0,0,0,Soccer,https://res.cloudinary.com/usopc-prod/image/upload/v1720034759/Fox_Emily_Headshot.jpg,"Emily Fox #23 of Team United States speaks to members of the media at Dignity Health Sports Park on June 27, 2023 in Carson, California.",Getty Images
blt1455e01f73d14d68,/profiles/veronica-fraley,Veronica,Fraley,Veronica Fraley,"<h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 15th (Discus Throw - Women)</li><li>Years of participation: Discus Throw - Women 2022, 2023</li><li>Top finish: 15th – 2023 (Discus Throw - Women)</li></ul><h5>Career Highlights</h5><ul><li>Pan American Games, Santiago, 2023 (Discus Throw - Women)</li></ul>",,5/27/2000,24,Raleigh,NC,Vanderbilt University,Vanderbilt University,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1720587414/GettyImages-2159604271.jpg,"Veronica Fraley poses with the bronze medal after placing third in the women's discus throw final on Day Seven of the 2024 U.S. Olympic Team Track & Field Trials at Hayward Field on June 27, 2024 in Eugene, Oregon.",Getty Images
bltd61fcfd448155c3b,/profiles/tori-franklin-920460,Tori,Franklin,Tori Franklin,"<h5>Personal</h5><ul><li>Daughter of Jermain and Tonya Franklin</li><li>Played basketball in high school</li><li>Currently writing a book</li><li>Volunteers with inner city Chicago public schools</li><li>Hobbies include singing, dancing, hiking, filming and playing sports</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Tokyo 2020, 25th (Triple Jump - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 12th (Triple Jump - Women)</li><li>Years of participation: Triple Jump - Women 2017, 2018, 2019, 2022, 2022, 2023</li><li>Medals: 1 (1 bronze)</li><ul><li>Bronze – 2022 (Triple Jump - Women)</li></ul></ul>","5'7""",10/7/1992,31,Chicago,IL,"Michigan State University ‘15, Interdisciplinary Studies",Michigan State University,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1680005726/TeamUSA%20Assets/Athlete%20Profiles/Tori%20Franklin%20920460/Franklin_Tori_150x250.jpg,Head Shot,
blt4a1eef40947a1d90,/profiles/jimmer-fredette,Jimmer,Fredette,Jimmer Fredette,"<h5>Personal</h5><ul><li>Son of Al and Kay Fredette </li><li>Born James Taft Fredette, his mother decided on the nickname ""Jimmer""</li><li>Drafted 10th overall in the 2011 NBA Draft by the Milwaukee Bucks</li></ul><ul><li>Spent six years in the NBA playing for the Sacramento Kings, Chicago Bulls, New Orleans Pelicans and New York Knicks</li></ul><h5>Career Highlights </h5><ul><li>Member of the inaugural Olympic 3x3 Men's Basketball Team </li><li>2023 USA Basketball 3x3 Male Athlete of the Year</li><li>2023 Pan American Games 3x3 Men's Team - 1st</li><li>2023 FIBA 3x3 World Cup Team - 2nd </li><li>2022 FIBA 3x3 AmeriCup Team - 1st </li></ul>",,2/25/1989,35,Glens Falls,NY,Brigham Young University,Brigham Young University,0,0,0,Basketball,https://res.cloudinary.com/usopc-prod/image/upload/v1711473553/20231023_Jimmer_Fredette_KUSUMOTO-020.jpg,"Jimmer Fredette celebrates after winning Gold in Men's 3x3 Basketball at the 2023 Pan American Games in Santiago, Chile.",Team USA
blte3c5bac269c91118,/profiles/taylor-fritz,Taylor,Fritz,Taylor Fritz,"<h5>Personal</h5><ul><li>Son of two tennis players. Father, Guy is a tennis coach and mother, Kathy May was a player on the Women's Tour</li><li>Has two brothers, Chris and Kyle</li><li>Began playing tennis at age two</li><li>Turned pro in 2014</li></ul><h5>Career Highlights</h5><ul><li>Former World No. 1 Junior</li><li>Became the first American men's champion in 2022 ATP Masters 1000 Indian Wells since Andre Agassi</li><li>Competed in the United Cup for Team USA in 2023</li><li>Competed for Team World in the Laver Cup in 2022 and 2023</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, (Doubles - Men), 5th (Doubles - Mixed), 9th (Singles - Men)</li></ul></ul>",,10/28/1997,26,Rancho Palos Verdes,CA,,,0,0,0,Tennis,https://res.cloudinary.com/usopc-prod/image/upload/v1684928596/TeamUSA%20Assets/Migration/Pages/Fritz_Taylor_07062022.jpg,undefined,Getty Images
blt4bad5ad735cef5eb,/profiles/naima-fualaau,Naima,Fuala'au,Naima Fuala'au,"<h5>Personal</h5><ul><li>Son of Faimafili Fuala’au</li><li>Began playing rugby at age 13</li><li>Enjoys playing video games</li><li>Favorite movies are Ip Man and Karate Kid</li><li>Christmas is his favorite holiday</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 11th (Team - Men)</li><li>Years of participation: Team - Men 2022</li><li>Top finish: 11th – 2022 (Team - Men)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 8th (Team - Men)</li></ul></ul>","5'8""",6/17/1998,26,Hayward,CA,"Tennyson High School (Hayward, Calif.)",,0,0,0,Rugby,https://res.cloudinary.com/usopc-prod/image/upload/v1720471560/TeamUSA%20Assets/Migration/Athlete%20Profiles/Naima%20Fuala%27au/fuala_au_n_hero_1068009.png,Naima Fuala'au poses for a portrait.,USA Rugby
blt4591f373c1c2dd1c,/profiles/catalina-gnoriega,Catalina,GNoriega,Catalina GNoriega,"<h5>Personal</h5><ul><li>Raised in Mexicali, Mexico</li><li>Started training in archery as a teenager</li><li>Competed at the Youth Olympic Games Buenos Aires 2018</li><li>Was named an alternate for the Olympic Games Tokyo 2020</li><li>Qualified for her first Olympic Games in May 2024</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 5th (Team - Women), 17th (Individual - Women)</li><li>Years of participation: Individual - Women 2023; Team - Women 2023</li><li>Top finish: 5th – 2023 (Team - Women)</li></ul><h5>Career Highlights</h5><ul><li>Pan American Games Santiago 2023, gold (Team - Women); Quarterfinals (Individual - Women)</li><li>2023 World Youth Championships (Team - Women, Individual - Women)</li><li>2022 World Cup (Individual - Women)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 9th (Team - Women)</li></ul></ul>",,3/17/2003,21,San Diego,CA,,,0,0,0,Archery,https://res.cloudinary.com/usopc-prod/image/upload/v1696865148/Catalina_GNoriega_Headshot_PanAms.jpg,Headshot of Catalina GNoriega,USA Archery
blt4a69c410361d1910,/profiles/jennie-gai,Jennie,Gai,Jennie Gai,"<h5>Personal</h5><ul><li>Parents are Martha Ma and Henry Gai</li><li>Began playing badminton at the age of 7</li><li>Favorite subject in school is math</li><li>Favorite badminton players are Nozomi Okuhara, Akane Yamaguchi and Kento Momota</li><li>Enjoys hanging out with friends, playing with her dogs and watching movies</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 17th (Doubles - Mixed)</li><li>Years of participation: Doubles - Mixed 2022, 2023</li><li>Top finish: 17th – 2023 (Doubles - Mixed)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 14th (Doubles - Mixed)</li></ul></ul>","5'9""",2/25/2001,23,Fremont,CA,,,0,0,0,Badminton,https://res.cloudinary.com/usopc-prod/image/upload/v1715661901/20231025_Jennie_Gai_KUSUMOTO-017.jpg,"Jennie Gai at the 2024 Pan American Games in Santiago, Chile.",Team USA
blt8bb8f03e2e206cde,/profiles/coco-gauff-1194702,Coco,Gauff,Coco Gauff,"<h5>Personal</h5><ul><li>Coached by father, Corey, who played basketball at Georgia State; mother, Candi, excelled in gymnastics before competing in a track and field at Florida State University</li><li>Has two younger brothers, Codey and Cameron</li><li>Started playing tennis at age six</li><li>Her parents gave up their careers to focus on training their daughter.</li><li>Describes her playing style as aggressive as possible with a big serve.</li><li>Her tennis idols growing up were the Williams sisters whose tenacity and fearlessness made her want to become a professional tennis player</li><li>Enjoys hanging out with her brother and family, watching superhero movies and making TikTok videos</li><li>Her favorite city is Paris because of the history, food and architecture<span>. Her favorite celebrity is Beyoncé because she is an incredible performer</span></li></ul><h5>Grand Slam Experience</h5><ul><li>Most recent: 2024 Australian Open (semi-finals)</li><li>Years of Participation: 2018, 2019, 2020, 2021, 2022, 2023</li><li>Grand Slam Titles: 1<ul><li>2023 <span style='font-size: 11pt;'>– </span>U.S. Open</li></ul></li><li><p>Finals Appearances: </p><ul><li>2023 <span>– </span><span>U.S. Open</span></li><li>2022 <span>– French Open</span></li></ul></li></ul><h5>Career Highlights</h5><ul><li>Current WTA Singles Ranking (as of January 29, 2024): 3</li><li>Reached No. 1 ranking in doubles in August 15, 2022. Currently ranked T7 (as of January 29, 2024)</li><li>Won her first WTA singles title at the 2019 Linz Open at age 15, making her the youngest singles title-holder on the WTA Tour since 2004</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 5th (Doubles - Mixed), 9th (Doubles - Women, Singles - Women)</li></ul></ul>","5'9""",3/13/2004,20,Delray Beach,FL,,,0,0,0,Tennis,https://res.cloudinary.com/usopc-prod/image/upload/v1687264604/TeamUSA%20Assets/Migration/Gauff_Coco_060523_1440x810_Updated.jpg,,TeamUSA
bltb935350728e3cec0,/profiles/erin-gemmell,Erin,Gemmell,Erin Gemmell,"<h5>Personal</h5><ul><li>Daughter of Bruce Gemmell and Barbara Harris</li><li>Gemmell's father was once Katie Ledecky's coach</li><li>Once dressed up as Ledecky for Halloween</li><li>Brother Andrew Gemmell swam at the Olympic Games London 2012</li><li>Four-time Big 12 Champion (two-time individual champion)</li><li>Two-time gold medalist at the 2019 World Junior Championships</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – silver (4 x 200m Freestyle Relay - Women)</li><li>Years of participation: 4 x 200m Freestyle Relay - Women 2023; 200m Freestyle (SC) - Women 2022; 4 x 100m Freestyle Relay (SC) - Women 2022; 4 x 200m Freestyle Relay (SC) - Women 2022; 4 x 50m Freestyle Relay (SC) - Women 2022; 400m Freestyle (SC) - Women 2022</li><li>Medals: 4 (1 gold, 2 silver, 1 bronze)</li><ul><li>Gold – 2022 (4 x 50m Freestyle Relay (SC) - Women)</li><li>Silver – 2023 (4 x 200m Freestyle Relay - Women); 2022 (4 x 100m Freestyle Relay (SC) - Women)</li><li>Bronze – 2022 (4 x 200m Freestyle Relay (SC) - Women)</li></ul></ul><h5>Career Highlights</h5><ul><li>World Cup, 2022 (Overall Ranking - Women)</li><li>World Cup, 2021 (Overall Ranking - Women)</li><li>World Junior Championships, Budapest, 2019 (4 x 100m Freestyle Relay - Women, 4 x 200m Freestyle Relay - Women)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 silver)</li><ul><li>Olympic Games Paris 2024, silver (4 x 200m Freestyle Relay - Women), 9th (200m Freestyle - Women)</li></ul></ul>",,12/2/2004,19,Bethesda,MD,,,0,1,0,Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1718815253/TeamUSA%20Assets/Athlete%20Profiles/Erin%20Gemmell%201382269/Gemmell_E_thumbnail.jpg,Erin Gemmell smiling,Getty Images
blt66dce7d2da46eb6d,/profiles/alison-gibson-1002212,Alison,Gibson,Alison Gibson,"<h5>Personal</h5><ul><li>Alison is the daughter of David, a systems engineer, and Patricia Gibson, a CPA</li><li>She has an older brother, Grant, who also attends the University of Texas</li></ul><ul><li>Alison began diving at age 9</li><li>She was a swimmer before starting to dive</li><li>Her favorite dive is 5152B on 3-meter, and her favorite diver is Guo Jingjing</li><li>She listens to a playlist of Christian songs and prays before she dives</li><li>When she's not training, Alison enjoys art, music, comedy, dance, data analytics, life coaching, inspiring and consulting young athletes</li><li>Alison likes to write song lyrics</li><li>She would love to write a book for young athletes</li><li>Majoring in advertising (media and analytics) at Texas</li></ul><h5>Career Highlights</h5><ul><li>2020 World Cup team member</li><li>2019 FINA USA Grand Prix gold medalist (3-meter synchro)</li><li>2018 Bolzano FINA Grand Prix silver medalist (3-meter synchro)</li><li>Three-time senior national champion (two 1-meter titles, one 3-meter synchro title)</li><li>2015 Junior Pan American Championships gold medalist on 1-meter</li><li>Three-time Junior Pan American medalist on 3-meter (bronze in 2013 and 2015, silver in 2011)</li><li>Three-time junior national champion (3-meter: 2011, 2015; platform 2012)</li><li>2017 NCAA champion (1-meter)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Tokyo 2020, 8th (3m Springboard Synchro - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2024 – 4th (3m Springboard Synchro - Women), 7th (1m Springboard - Women)</li><li>Years of participation: 1m Springboard - Women 2017, 2024; 3m Springboard Synchro - Women 2017, 2019, 2024</li><li>Top finish: 4th – 2024 (3m Springboard Synchro - Women)</li></ul>","5' 3""",7/9/1999,25,Austin,TX,University of Texas (2020),University of Texas at Austin,0,0,0,Diving,https://res.cloudinary.com/usopc-prod/image/upload/v1683141149/NGB%20Diving/Migration/Athlete%20Profiles/Alison%20Gibson%201002212/Gibson_Alison_150x250.jpg,Head Shot,
blt8a16bd87472681e1,/profiles/kaleigh-gilchrist-849642,Kaleigh,Gilchrist,Kaleigh Gilchrist,"<h5>Personal</h5><ul><li>Daughter of Jenny and Sandy Gilchrist</li><li>Has one sister, Ali</li><li>Is also a professional surfer and aspires to pursue her surfing career after she retires from water polo</li><li>Founded a T-shirt company, I Miss South Central</li><li>Aided the University of Southern California to the 2013 NCAA title.</li></ul><h5>Career Highlights</h5><ul><li>ISA World Junior Championships, Piha, 2010 (Shortboard - Women)</li><li>ISA World Junior Championships, Salinas, 2009 (Shortboard - Women)</li><li>ISA World Junior Championships, Costa da Caparica, 2007 (Shortboard - Women)</li></ul><h5>Olympic Experience</h5><ul><li>3-time Olympian; 2-time Olympic medalist (2 gold)</li><ul><li>Olympic Games Paris 2024, (Team - Women)</li><li>Olympic Games Tokyo 2020, gold (Team - Women)</li><li>Olympic Games Rio de Janeiro 2016, gold (Team - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2024 – gold (Team - Women)</li><li>Years of participation: Team - Women 2015, 2019, 2022, 2023, 2024</li><li>Medals: 4 (4 gold)</li><ul><li>Gold – 2024 (Team - Women); 2022 (Team - Women); 2019 (Team - Women); 2015 (Team - Women)</li></ul></ul>","5'9""",5/16/1992,32,Newport Beach,CA,University of Southern California,University of Southern California,2,0,0,Water Polo,https://res.cloudinary.com/usopc-prod/image/upload/v1680005790/TeamUSA%20Assets/Athlete%20Profiles/Kaleigh%20Gilchrist%20849642/Gilchrist_Kaleigh_150x250_tokyo.jpg,Kaleigh Gilchrist,
blt1e190fa67275a1f8,/profiles/naomi-girma,Naomi,Girma,Naomi Girma,"<h5>Personal</h5><ul><li>Born in San Jose, California, to Ethiopian parents</li><li>Speaks both Amharic and English</li><li>First-ever Ethiopian-American to play for the USWNT</li><li>Position: Defender</li><li>Current pro team: San Diego Wave FC (NWSL)</li></ul><h5>World Championship Experience</h5><ul><li>Most recent: 2023 <span style='font-size: 11pt;'>– FIFA Women's World Cup Round of 16</span></li><li>Years of participation: 2023</li><li>Top finish: Round of 16 <span style='font-size: 11pt;'>– 2023</span></li></ul><h5>Career Highlights</h5><ul><li>Member of the USWNT since 2022</li><li><p>First overall pick of the 2022 NWSL Draft</p></li><li>2023 U.S. Soccer Female Player of the Year</li><li>2023, 2022 NWSL Defender of the Year</li><li>2022 NWSL Rookie of the Year</li></ul>","5'6""",6/14/2000,24,San Jose,CA,Stanford University,Stanford University,0,0,0,Soccer,https://res.cloudinary.com/usopc-prod/image/upload/v1709587845/TeamUSA%20Assets/Athlete%20Voices/Naomi%20Girma/1x1/TUSA_AV_Girma-004_1x1.jpg,Naomi Girma holding a soccer ball and smiling,Team USA
blt2452a872ed79d804,/profiles/marcos-giron-1148869,Marcos,Giron,Marcos Giron,"<h5>Personal</h5><ul><li>Parents are Andres and Rosanna</li><li>Started playing tennis at age six when his mom fed him balls at a local park</li><li>Favorite shot is his forehand and favorite tournament is the US Open</li><li>Idols growing up included Pete Sampras, Andre Agassi and Roger Federer</li><li>Played college tennis for UCLA from 2012-14, capturing 2014 NCAA singles title before turning pro</li><li>Fan of the Los Angeles Lakers</li><li>Spent time at national parks such as Zion in Utah following 2020 season</li><li>If he wasn't a tennis player, he'd be a doctor like his father because he likes helping people</li><li>Enjoys being outdoors and playing other sports, especially skiing and mountain biking.</li></ul><h5>Career Highlights</h5><ul><li>Won the 2014 NCAA DI Men's Tennis Championship</li><li>Won the men's singles in the 2011 Ojai Tennis Tournament</li></ul><h5>Olympic Experience</h5><ul><li>2-time Olympian;</li><ul><li>Olympic Games Paris 2024, 33th (Singles - Men)</li><li>Olympic Games Tokyo 2020, 17th (Singles - Men)</li></ul></ul>","5'11""",7/24/1993,31,Thousand Oaks,CA,"University of California, Los Angeles","University of California, Los Angeles",0,0,0,Tennis,https://res.cloudinary.com/usopc-prod/image/upload/v1680005779/TeamUSA%20Assets/Athlete%20Profiles/Marcos%20Giron%201148869/giron_marcos_150x250.jpg,Marcos Giron,
blt254c6a5733da8706,/profiles/phia-gladieux,Phia,Gladieux,Phia Gladieux,,,,,Oley,PA,,,0,0,0,Field Hockey,https://res.cloudinary.com/usopc-prod/image/upload/v1707931811/NGB%20Field%20Hockey/USWNT/2024%20Headshots/GladieuxS.jpg,,
blt78446350ae395516,/profiles/rachel-glenn,Rachel,Glenn,Rachel Glenn,"<h5>Personal</h5><ul><li>Went to Woodrow Wilson Classical High School</li><li>Initially started as a 400-meter runner but switched to high jump in 2018</li><li>Currently competes in 400m hurdles and high jump</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 25th (High Jump - Women)</li><li>Years of participation: High Jump - Women 2022</li><li>Top finish: 25th – 2022 (High Jump - Women)</li></ul><h5>Career Highlights</h5><ul><li>2022 NACAC Championships, silver (High Jump - Women)</li><li>2021 NCAA Division I Outdoor Track &amp; Field Champion (High Jump - Women)</li><li>2021 SEC Outdoor Champion (High Jump - Women)</li></ul>",,4/17/2002,22,Long Beach,CA,University of South Carolina; University of Arkansas,University of South Carolina,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1721323494/TeamUSA%20Assets/Athlete%20Profiles/Rachel%20Glenn%201179557/Glenn_R_thumbnail_1179557.jpg,Rachel Glenn smiling,Getty Images
bltd8c42cdca9b3cabe,/profiles/amanda-golini-1060626,Amanda,Golini,Amanda Golini,"<h5>Personal</h5><ul><li>Daughter of Aldo and Silvia Magadan. Has two brothers, Nicholas and Christopher</li><li>Former last name Magadan, she is married to Alec Golini</li><li>Started playing field hockey in 2009</li><li>Game Day Mantra: ""When you think you are tired, keep going!""</li><li>Best Words of Advice: ""What lies behind you and what lies in front of you, pales comparison to what lies inside of you."" - Ralph Waldo Emerson</li></ul><h5>Career Highlights</h5><ul><li><span>2022-23 FIH Pro League (worldwide), Named Player of the Match against China on February 23</span></li><li>Pan American Games Santiago 2023, silver (Team - Women)</li><li>Pan American Games Lima 2019, bronze (Team - Women)</li><li><span>2017 World League Semifinals, gold</span></li><li><span>2017 Pan American Cup, bronze</span></li><li>Junior World Cup Santiago 2016 (Team - Women)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, (Team - Women)</li></ul></ul>",,3/28/1995,29,Randolph,NJ,Randolph High School Lafayette College '17,Lafayette College,0,0,0,Field Hockey,https://res.cloudinary.com/usopc-prod/image/upload/v1680011624/TeamUSA%20Assets/Athlete%20Profiles/Amanda%20Golini%201060626/Magadan_150x250.jpg,Head Shot,
blt6d04bdaafcec1543,/profiles/jajaira-gonzalez,Jajaira,Gonzalez,Jajaira Gonzalez,"<h5>Personal</h5><ul><li><span>Secured gold medals at the Junior World Championships, back-to-back Youth World Championships and Youth Olympics before finishing second at the 2016 Olympic Trials</span></li><li><span>Returned to the sport of boxing in 2021 after stepping away from the sport in 2018.</span></li><li><span>Qualified for the Olympic Games Paris 2024 by securing a bronze medal in the 60 kg. division</span></li></ul><h5>Career Highlights</h5><ul><li>Pan American Games, Santiago, 2023 (Lightweight - Women)</li><li>World Youth Championships, Taipei, 2015 (Lightweight - Women)</li><li>World Youth Championships, Sofia, 2014 (Lightweight - Women)</li><li>World Junior Championships, Albena, 2013 (Featherweight - Women)</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 9th (63kg - Women)</li><li>Years of participation: 63kg - Women 2022; Light Welterweight - Women 2016</li><li>Top finish: 9th – 2016 (Light Welterweight - Women), 2022 (63kg - Women)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 9th (Lightweight - Women)</li></ul></ul>",,2/13/1997,27,Glendora,CA,,,0,0,0,Boxing,https://res.cloudinary.com/usopc-prod/image/upload/v1686929914/NGB%20Boxing/Athlete%20Profiles/2023%20Elite/Thumbnails/Gonzalez_o_Thumbnail.png,,
blt607453b9b6d145a9,/profiles/michael-grady,Michael,Grady,Michael Grady,"<h5>Personal</h5><ul><li>Son of John and Tracy Grady. Has two sisters and one brother.</li><li>Is a twin</li><li>Found the sport of rowing though his father</li><li>Admires Carlos Dinares for his enthusiasm towards the sport of rowing</li><li>Hobbies include beekeeping and solving Rubik's Cubes</li></ul><h5>Olympic Experience</h5><ul><li>2-time Olympian; 1-time Olympic medalist (1 gold)</li><ul><li>Olympic Games Paris 2024, gold (Four - Men)</li><li>Olympic Games Tokyo 2020, 5th (Four - Men)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – silver (Four - Men)</li><li>Years of participation: Four - Men 2023; Pair - Men 2022</li><li>Medals: 1 (1 silver)</li><ul><li>Silver – 2023 (Four - Men)</li></ul></ul>","6'5""",10/22/1996,27,Pittsburgh,PA,Cornell University ‘19,Cornell University,1,0,0,Rowing,https://res.cloudinary.com/usopc-prod/image/upload/v1686927813/TeamUSA%20Assets/Migration/Athlete%20Profiles/Michael%20Grady/Grady_Michael_150x250.jpg,Head Shot,
bltf4c026398947783b,/profiles/chelsea-gray-1194920,Chelsea,Gray,Chelsea Gray,"<h5>Personal</h5><ul><li>Hails from Manteca, California</li><li>Daughter of James and Vickey Gray; has one brother, Javon</li><li>Cousin, Alexis Gray-Lawson, played basketball for California and was drafted by the Washington Mystics</li><li>Married Tipesa Mercedes Moorer on Nov. 2, 2019</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 gold)<ul><li>Olympic Games Tokyo 2020, gold (Team - Women)</li></ul></li></ul>","5'11""",10/8/1992,31,Hayward,CA,Duke University,Duke University,1,0,0,Basketball,https://res.cloudinary.com/usopc-prod/image/upload/v1680005964/TeamUSA%20Assets/Athlete%20Profiles/Chelsea%20Gray%201194920/Gray_Chelsea.jpg,Head Shot,
